Chlamydia_abortus_strain_1B_cevac	Chlamydia_crocodili_strain_No._12
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_psittaci_WSRTE30
Chlamydia_abortus_strain_NL2335-4C	Chlamydia_trachomatis_RC-L255
Chlamydia_avium_10DC88	Chlamydia_pecorum_E58
Chlamydia_buteonis_strain_IDL17-4553	Chlamydia_trachomatis_L2b820007
Chlamydia_crocodili_strain_No._12	Chlamydia_psittaci_MN
Chlamydia_gallinacea_08-12743	Chlamydia_muridarum_str._Nigg
Chlamydia_muridarum_str._Nigg	Chlamydia_trachomatis_L2b820007
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_trachomatis_A2497
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_trachomatis_EBour
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_trachomatis_strain_E-32931
Chlamydia_psittaci_MN	Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_strain_Ful127	Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_psittaci_strain_GIMC_2005CpsCP1	Chlamydia_trachomatis_L2b820007
Chlamydia_trachomatis_EBour	Chlamydia_trachomatis_L2b820007
